timestamp,engine_load,coolant_temp,fuel_pressure,intake_manifold_p,rpm,speed,timing_advance,intake_air_temp,air_flow_rate,throttle_pos,engine_run_time,fuel_level,warmups_since_clear,barometric_p,ambient_air_temp,cmd_throttle_act,time_with_mil_on,time_since_codes,hybrid_batt_life,fuel_rate,fault_code,verdict
2025-05-26T15:34:14.167024,67.37,135.18,65.69,35.22,2384,57.37,7.66,16.04,51.54,23.15,33118,74.96,38,85.53,2.95,24.65,4464,439898,61.02,12.2,coolant_overheat,fault
2025-05-26T15:34:14.167359,27.15,133.23,45.2,51.54,2950,71.55,5.32,24.26,18.26,30.08,30108,77.53,34,87.5,31.89,25.87,2401,379201,78.87,14.39,coolant_overheat,fault
2025-05-26T15:34:14.167376,51.74,66.27,63.36,39.76,2835,74.44,5.66,38.46,143.35,44.55,4679,41.11,38,97.7,38.29,42.0,3786,397887,63.5,18.58,ambient_high,fault
2025-05-26T15:34:14.167389,48.08,110.27,32.65,84.79,1884,42.67,12.02,40.13,50.4,27.77,32717,81.48,25,102.69,20.71,24.2,1143,258607,87.25,32.85,fuel_rate_high,fault
2025-05-26T15:34:14.167399,72.9,90.25,64.44,39.17,1843,51.06,-0.2,38.82,123.32,18.3,25216,51.88,24,96.92,46.26,15.81,4532,12038,84.01,3.18,ambient_high,fault
2025-05-26T15:34:14.167410,70.55,131.98,58.79,88.31,2585,62.56,17.86,32.77,30.22,24.44,19558,5.31,40,95.15,2.96,23.18,1323,565579,97.67,18.53,coolant_overheat,fault
2025-05-26T15:34:14.167420,36.76,95.35,39.63,64.04,2111,176.09,-2.64,40.62,165.04,35.41,34911,81.64,49,87.52,21.39,39.88,1352,277932,76.38,12.53,speed_high,fault
2025-05-26T15:34:14.167430,46.14,79.71,65.98,57.09,2540,65.64,2.44,17.24,14.0,30.8,15080,2.06,37,89.4,-2.16,32.11,1875,70674,95.27,17.33,fuel_low,fault
2025-05-26T15:34:14.167439,60.33,106.34,39.72,58.38,2335,58.79,7.21,18.3,135.21,33.86,23219,0.99,27,93.22,29.55,29.4,5353,103198,53.03,14.84,fuel_low,fault
2025-05-26T15:34:14.167449,84.63,123.29,47.73,81.68,2820,69.73,11.51,16.77,199.86,30.43,967,28.73,5,103.53,28.95,27.1,3978,504740,60.69,8.62,coolant_overheat,fault
2025-05-26T15:34:14.167458,68.76,95.13,59.22,77.0,3295,86.66,14.86,32.03,46.08,49.03,14267,32.1,3,96.58,37.36,51.51,468,52578,79.21,10.55,ambient_high,fault
2025-05-26T15:34:14.167468,36.46,94.0,34.8,83.42,2817,67.28,2.39,35.81,127.68,100.0,27474,69.15,42,96.67,15.91,100.0,1673,329445,61.93,8.52,throttle_stuck,fault
2025-05-26T15:34:14.167478,89.73,110.27,32.93,42.79,1960,44.74,2.96,47.66,177.36,0.0,16009,99.85,23,90.7,12.53,0.0,2478,554634,50.39,16.52,throttle_stuck,fault
2025-05-26T15:34:14.167487,39.06,92.99,54.19,73.06,6904,68.61,1.11,37.2,60.16,26.45,32016,57.56,16,103.11,28.84,22.37,3469,290120,52.2,7.34,rpm_spike,fault
2025-05-26T15:34:14.167497,27.83,94.25,67.8,71.46,2971,161.68,-0.53,16.26,80.15,40.96,9705,58.29,27,87.55,7.33,44.95,6521,41832,94.95,4.99,speed_high,fault
2025-05-26T15:34:14.167507,84.8,105.19,39.47,39.75,1878,50.71,19.0,21.2,88.34,34.83,11754,1.53,47,103.49,26.3,33.95,5487,260222,63.34,15.96,fuel_low,fault
2025-05-26T15:34:14.167519,77.44,97.72,64.85,43.38,3375,81.39,14.8,28.95,62.93,0.0,4549,38.22,49,90.58,20.66,0.0,6911,562262,66.56,1.52,throttle_stuck,fault
2025-05-26T15:34:14.167529,75.05,81.1,47.46,89.05,494,7.75,-1.53,62.46,46.11,5.81,2908,37.84,45,93.72,15.8,8.87,5626,206606,68.21,2.33,intake_temp_high,fault
2025-05-26T15:34:14.167539,42.83,90.59,57.89,63.26,2286,61.16,0.76,38.27,82.04,30.72,11405,68.35,39,96.38,11.24,34.06,2489,300850,60.51,39.64,fuel_rate_high,fault
